OID_,VALUE,X,Y,PPT,CWE
0,0,-352500.000000000000000,442500.000000000000000,0.000000000000000,0.010109402239300
1,0,-337500.000000000000000,442500.000000000000000,904.157071542000040,0.002601415384560
2,0,-307500.000000000000000,442500.000000000000000,719.088427289000037,0.008764673955740
3,0,-292500.000000000000000,442500.000000000000000,709.823048590999974,0.026996016502400
4,0,-262500.000000000000000,442500.000000000000000,382.973121483000000,0.041457913816000
5,0,-247500.000000000000000,442500.000000000000000,437.095741320999991,0.107481390238000
6,0,-232500.000000000000000,442500.000000000000000,249.380537484000001,0.031410973519100
7,0,-217500.000000000000000,442500.000000000000000,200.129857643000008,0.013955437578300
8,0,-202500.000000000000000,442500.000000000000000,180.094122840000011,0.043478261679400
9,0,-187500.000000000000000,442500.000000000000000,218.638603918999991,0.133221819997000
10,0,-172500.000000000000000,442500.000000000000000,202.879026546000006,0.020833333954200
11,0,-157500.000000000000000,442500.000000000000000,173.252522663000008,0.009651355445380
12,0,-142500.000000000000000,442500.000000000000000,131.723184812999989,0.048743795603500
13,0,-127500.000000000000000,442500.000000000000000,138.518341915000008,0.035486273467500
14,0,-82500.000000000000000,442500.000000000000000,0.000000000000000,0.013888888992400
15,0,-67500.000000000000000,442500.000000000000000,0.000000000000000,0.030303031206100
16,0,-37500.000000000000000,442500.000000000000000,0.000000000000000,0.333333343267000
17,0,-22500.000000000000000,442500.000000000000000,0.000000000000000,0.015037564560800
18,0,-7500.000000000000000,442500.000000000000000,0.000000000000000,0.015395150519900
19,0,-352500.000000000000000,427500.000000000000000,677.351561863000029,0.010680689476400
20,0,-337500.000000000000000,427500.000000000000000,882.484080633999952,0.015389383770500
21,0,-322500.000000000000000,427500.000000000000000,986.767145822999964,0.008114144206050
22,0,-307500.000000000000000,427500.000000000000000,1346.970953640000062,0.017065705731500
23,0,-292500.000000000000000,427500.000000000000000,567.057047463000004,0.011093668639700
24,0,-277500.000000000000000,427500.000000000000000,390.301950148000003,0.006750547327100
25,0,-262500.000000000000000,427500.000000000000000,279.028114346999985,0.029627932235600
26,0,-247500.000000000000000,427500.000000000000000,210.830545032999993,0.001265822793360
27,0,-232500.000000000000000,427500.000000000000000,226.753696195000003,0.012210474349600
28,0,-217500.000000000000000,427500.000000000000000,180.120491488999988,0.010687941685300
29,0,-202500.000000000000000,427500.000000000000000,175.359149610999992,0.010592940263500
30,0,-187500.000000000000000,427500.000000000000000,371.579679316000011,0.033583682030400
31,0,-172500.000000000000000,427500.000000000000000,159.665776431000012,0.046532675623900
32,0,-157500.000000000000000,427500.000000000000000,177.640203023999987,0.017377289012100
33,0,-142500.000000000000000,427500.000000000000000,153.239387493999999,0.075382202863700
34,0,-127500.000000000000000,427500.000000000000000,141.654653617000008,0.018079655244900
35,0,-112500.000000000000000,427500.000000000000000,138.378334270000011,0.031405188143300
36,0,-37500.000000000000000,427500.000000000000000,189.032626458000010,0.033712148666400
37,0,-22500.000000000000000,427500.000000000000000,418.046386688999974,0.016705602407500
38,0,-7500.000000000000000,427500.000000000000000,190.913307365999998,0.019538639113300
39,0,-352500.000000000000000,412500.000000000000000,0.000000000000000,0.090584568679300
40,0,-337500.000000000000000,412500.000000000000000,945.338313334999953,0.017977282404900
41,0,-322500.000000000000000,412500.000000000000000,854.565723154000011,0.015151515603100
42,0,-292500.000000000000000,412500.000000000000000,551.886970629999951,0.013888888992400
43,0,-277500.000000000000000,412500.000000000000000,502.649201100000028,0.013263238593900
44,0,-262500.000000000000000,412500.000000000000000,453.597699338999973,0.003937007859350
45,0,-247500.000000000000000,412500.000000000000000,231.102784157999992,0.006796401459720
46,0,-232500.000000000000000,412500.000000000000000,212.802072113999998,0.001265822793360
47,0,-217500.000000000000000,412500.000000000000000,172.785922873000004,0.033385168761000
48,0,-202500.000000000000000,412500.000000000000000,163.994061402000000,0.005235602147880
49,0,-187500.000000000000000,412500.000000000000000,281.023002211999994,0.028333343565500
50,0,-172500.000000000000000,412500.000000000000000,219.511219439999991,0.077348478138400
51,0,-157500.000000000000000,412500.000000000000000,163.244926762000006,0.011946559883700
52,0,-142500.000000000000000,412500.000000000000000,173.990746438000002,0.013818027451600
53,0,-127500.000000000000000,412500.000000000000000,192.576876276000007,0.035296842455900
54,0,-112500.000000000000000,412500.000000000000000,143.915210680000001,0.022823767736600
55,0,-97500.000000000000000,412500.000000000000000,159.464760974999990,0.008547008968890
56,0,-52500.000000000000000,412500.000000000000000,192.217054367999992,0.024390242993800
57,0,-37500.000000000000000,412500.000000000000000,240.275375825999987,0.013763410039200
58,0,-22500.000000000000000,412500.000000000000000,412.961902313999985,0.009240536019210
59,0,-337500.000000000000000,397500.000000000000000,744.107411515999956,0.010508263483600
60,0,-322500.000000000000000,397500.000000000000000,1144.397037330000103,0.011107068508900
61,0,-307500.000000000000000,397500.000000000000000,1373.295259559999977,0.017170833423700
62,0,-277500.000000000000000,397500.000000000000000,835.432209982000018,0.024106994271300
63,0,-262500.000000000000000,397500.000000000000000,690.084528499000044,0.010103195905700
64,0,-247500.000000000000000,397500.000000000000000,203.656168046000005,0.023340815678200
65,0,-232500.000000000000000,397500.000000000000000,203.110072844000001,0.045088648796100
66,0,-217500.000000000000000,397500.000000000000000,254.545744449000011,0.051271844655300
67,0,-202500.000000000000000,397500.000000000000000,180.486207705999988,0.027099205181000
68,0,-187500.000000000000000,397500.000000000000000,216.938160640999996,0.019918546080600
69,0,-172500.000000000000000,397500.000000000000000,238.719368572000008,0.019999999553000
70,0,-157500.000000000000000,397500.000000000000000,221.391434562000001,0.005518786143510
71,0,-142500.000000000000000,397500.000000000000000,344.160422634999975,0.010953497141600
72,0,-127500.000000000000000,397500.000000000000000,396.912253802999999,0.019681844860300
73,0,-112500.000000000000000,397500.000000000000000,174.880745760999986,0.020410055294600
74,0,-97500.000000000000000,397500.000000000000000,186.271304259000004,0.011772221885600
75,0,-67500.000000000000000,397500.000000000000000,176.112072845000000,0.012104944326000
76,0,-52500.000000000000000,397500.000000000000000,170.714660860000009,0.055555555969500
77,0,-37500.000000000000000,397500.000000000000000,203.887418055000012,0.025753645226400
78,0,-22500.000000000000000,397500.000000000000000,391.285168267000017,0.021583665162300
79,0,-7500.000000000000000,397500.000000000000000,159.354549886999990,0.019798830151600
80,0,-337500.000000000000000,382500.000000000000000,632.488507449000053,0.010534918867100
81,0,-322500.000000000000000,382500.000000000000000,1112.509616860000051,0.006553827319290
82,0,-307500.000000000000000,382500.000000000000000,1291.855939970000009,0.022647649049800
83,0,-292500.000000000000000,382500.000000000000000,501.253833999999983,0.027160534635200
84,0,-277500.000000000000000,382500.000000000000000,628.051757161999944,0.007736314088110
85,0,-247500.000000000000000,382500.000000000000000,385.560053761999995,0.024687143042700
86,0,-232500.000000000000000,382500.000000000000000,202.359045436999992,0.005376344081010
87,0,-217500.000000000000000,382500.000000000000000,440.828367910999987,0.012931683100800
88,0,-202500.000000000000000,382500.000000000000000,264.988772906000008,0.020908216014500
89,0,-187500.000000000000000,382500.000000000000000,681.659039872999983,0.010087766684600
90,0,-172500.000000000000000,382500.000000000000000,435.957069656999977,0.003111687256020
91,0,-157500.000000000000000,382500.000000000000000,349.685245602000009,0.007578395307060
92,0,-142500.000000000000000,382500.000000000000000,317.459566696000024,0.127353012562000
93,0,-127500.000000000000000,382500.000000000000000,312.014975516999982,0.003887610044330
94,0,-97500.000000000000000,382500.000000000000000,227.233395666999996,0.001265822793360
95,0,-82500.000000000000000,382500.000000000000000,207.078122444000002,0.023047003895000
96,0,-67500.000000000000000,382500.000000000000000,174.049064030000011,0.013878891244500
97,0,-52500.000000000000000,382500.000000000000000,162.586780924999999,0.032216541469100
98,0,-37500.000000000000000,382500.000000000000000,178.411992279000003,0.039651338011000
99,0,-22500.000000000000000,382500.000000000000000,300.178960663999987,0.005916712805630
100,0,-7500.000000000000000,382500.000000000000000,150.199411567999988,0.005770243238660
101,0,-337500.000000000000000,367500.000000000000000,689.566168821000019,0.034014012664600
