cwe,richness,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,L1.name,L2.name,L3.name,geometry
0.010109402,5,11.905016899108888,15.920408248901367,8.288775444030762,2019,339,12,73.89717864990234,970,80,94,922,9.487244606018066,54.168609619140625,315.65313720703125,21.302040100097656,3.787755012512207,17.514286041259766,8.613605499267578,15.564285278320312,Marine west coast forest,Marine west coast forest,Coast range,"c(-352500, 442500)"
0.002601415,2,11.510624885559082,16.85333251953125,7.203333377838135,2058,364,10,78.50408935546875,1030,67,83,971,11.799583435058594,53.21599960327149,401.6295166015625,24.76499938964844,2.5920000076293945,22.17300033569336,7.542666435241699,16.287166595458984,Marine west coast forest,Marine west coast forest,Coast range,"c(-337500, 442500)"
0.008764674,7,10.619500160217283,17.37649917602539,4.941666603088379,1607,295,9,80.8369369506836,833,54,67,785,14.054166793823242,50.8030891418457,513.9271240234375,27.992000579833984,0.328000009059906,27.66400146484375,5.252500057220459,17.066999435424805,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-307500, 442500)"
0.026996016,28,8.605250358581543,15.447833061218262,3.3554999828338623,1544,278,12,76.134613037109375,778,67,76,729,13.427000045776367,50.02608108520508,504.677490234375,25.562000274658203,-1.277999997138977,26.84000015258789,3.7888333797454834,14.911999702453612,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-292500, 442500)"
0.041457915,44,8.72541618347168,16.126333236694336,2.757999897003174,1107,198,11,72.77892303466797,552,60,63,515,14.398500442504885,49.151702880859375,556.98193359375,27.097000122070312,-2.197000026702881,29.29400062561035,3.194499969482422,15.741999626159668,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-262500, 442500)"
0.107481388,11,6.648916721343994,14.114666938781738,0.8734999299049377,1273,219,14,69.23624420166016,612,74,76,571,13.417166709899902,47.49607467651367,554.26849365234375,24.295000076293945,-3.9539999961853023,28.249000549316406,1.3789998292922974,13.55466651916504,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-247500, 442500)"
0.031410975,9,8.632874488830566,16.72800064086914,1.6451666355133057,813,142,11,67.88543701171875,396,54,54,366,14.911749839782717,47.056549072265625,623.8330078125,28.08799934387207,-3.6010000705718994,31.68899917602539,2.112833261489868,16.72800064086914,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-232500, 442500)"
0.013955438,9,9.68375015258789,18.305999755859375,1.909000039100647,611,105,10,63.95991134643555,293,47,47,267,15.719666481018066,46.09197235107422,676.6519775390625,30.261999130249023,-3.8429999351501465,34.10499954223633,2.317000150680542,18.305999755859375,Northwestern forested mountains,Western cordillera,Klamath mountains,"c(-217500, 442500)"
0.043478261,1,11.169625282287598,20.40516662597656,2.8980000019073486,519,86,9,60.47141647338867,244,44,44,218,16.77924919128418,45.95292282104492,724.33953857421875,32.965999603271484,-3.5480000972747803,36.51399993896485,3.191166639328003,20.40516662597656,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-202500, 442500)"
0.133221821,11,9.532166481018066,18.47916603088379,1.5145000219345093,523,87,9,59.59358596801758,242,43,43,217,15.989500045776367,45.283206939697266,700.5601806640625,30.628000259399418,-4.682000160217285,35.310001373291016,1.956833243370056,18.47916603088379,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-187500, 442500)"
0.020833333,1,7.911916732788086,17.166166305541992,-0.5453333258628845,414,66,9,52.528018951416016,182,41,41,160,15.939833641052246,43.791954040527344,726.63629150390625,29.483999252319336,-6.914999961853027,36.39899826049805,0.05583333969116211,17.166166305541992,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-172500, 442500)"
0.009651356,10,8.236958503723145,17.463333129882812,-0.3118334710597992,360,53,9,47.089141845703125,150,38,38,133,16.121749877929688,44.01362228393555,730.22393798828125,29.81599998474121,-6.813000202178955,36.62900161743164,0.284499853849411,17.463333129882812,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-157500, 442500)"
0.048743797,18,8.423583030700684,17.0488338470459,0.32600006461143494,329,45,8,43.785186767578125,128,35,42,116,15.901999473571776,45.064754486083984,688.17620849609375,29.24099922180176,-6.046000003814697,35.2869987487793,0.8666666746139526,16.970333099365234,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-142500, 442500)"
0.035486273,15,8.58566665649414,17.494333267211914,0.24316661059856415,307,40,8,38.943572998046875,116,36,36,106,16.05033302307129,44.533538818359375,709.02520751953125,29.93600082397461,-6.105000019073486,36.04100036621094,0.8833332657814026,17.494333267211914,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-127500, 442500)"
0.013888889,1,7.854541778564453,17.275999069213867,-0.6340000629425049,395,49,10,39.8646125793457,143,43,43,136,15.433416366577148,42.75421524047851,737.2874755859375,29.32799911499023,-6.769999980926514,36.097999572753906,0.09416663646697998,17.275999069213867,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-82500, 442500)"
0.03030303,1,6.94154167175293,16.24333381652832,-1.5110000371932983,442,54,11,40.430137634277344,158,46,46,150,14.919416427612305,42.217994689941406,729.9961547851564,27.820999145507812,-7.51800012588501,35.3390007019043,-0.6746665835380554,16.24333381652832,Northwestern forested mountains,Western cordillera,Eastern cascades slopes and foothills,"c(-67500, 442500)"
